id,question
438559,"French painting reminiscent of the Bourbon Restoration era, depicting the attack on biblical Jerusalem"
438559,19th century oil sketch showcasing Roman conquest with classical architecture in the backdrop
438559,looking for an intense painting filled with dynamic figures and vibrant brushstrokes amid a chaotic battle
437189,"What painting features a Gothic church interior at night with small, illuminated figures?"
437189,Looking for a nocturnal scene in a church with Rubens-style altarpiece elements.
437189,Are there any Flemish church interiors with jewel-like night lighting?
437189,17th century Flemish oil painting depicting intricate church arches at night.
437189,"A moody, shadowy church interior scene with dramatic artificial lighting effects."
435824,"What's that painting featuring angels, a Madonna, and a Florentine banker patron?"
435824,I'm looking for a religious painting with Mary Magdalene and a unique original frame.
435824,Can you find a Renaissance piece with oil on wood showing altarpieces linked to architecture?
435824,Show me an artwork from the early 1500s with a wooded altarpiece featuring saints.
435824,"Do you have a serene composition with a Madonna and Child surrounded by saints, including a Magdalen?"
435649,"What painting shows Judith holding a sword with red and gold tones, reflecting inspiration from Delacroix?"
435649,"Bible story painting featuring a woman depicted in exotic beauty, saving a city with a sword"
435649,Looking for a painting inspired by travels to Spain and Morocco in the 1870s depicting a biblical heroine
435649,"Oil on canvas art from the 19th century, featuring a biblical scene with a woman holding a sword"
435649,"Show me a painting with an avenging beauty, using a rich palette of red and gold"
438373,What painting features colorful characters ice skating near a whimsical castle?
438373,Looking for a winter-themed artwork with skaters surrounded by Dutch-style trees
438373,Show me paintings with Flemish landscapes featuring imaginary castles
438373,Are there any early 17th-century oil paintings depicting ice skating in a fantastical setting?
438373,"I'm interested in winter scenes with vibrant characters on ice against a rugged, castle backdrop"
437510,Who is the nobleman in the painting with a hand on the frame and wearing a crimson coat with ermine lining?
437510,"Looking for an Italian portrait painting where the sitter resembles a government official, referencing Hans Memling's style."
437510,Does the museum have a tempera painting from the Renaissance that features a man in a rich crimson coat touching the frame?
437510,"Show me a 15th-century Florentine piece depicting a man with noble attire in a standalone portrait, styled after Netherlandish art."
437510,"Search for a painting with a somber mood, showing a man in luxurious clothing akin to Italian nobility, utilizing dark and rich colors."
437236,"I'm searching for a portrait featuring a priest in a fur-trimmed cassock, possibly cut from a larger religious scene."
437236,"Can you show me a painting where a man, possibly a donor, is depicted in prayer with detailed wrinkles and folds on his face?"
437236,"Looking for a 15th-century Dutch piece that was originally part of a religious composition, showing a priest figure."
437236,A shadowy portrait with a focus on the priest's intricate garments and the somber expression on his face.
437236,"Find me a tense religious-themed painting from the Northern Renaissance, emphasizing intricate facial details and a kneeling posture."
440409,"I am looking for a painting depicting a bold geometric village view with contrasting light and shadow, possibly on a cardboard medium."
440409,"Show me a village-themed painting that showcases Italian scenery, painted with broad strokes during the early 19th century."
440409,Are there any oil paintings that feature distinct color zones and are created by artists who traveled with Corot?
440409,Can you help me find a painting from the early 1800s that captures a serene Italian village in a mix of light and shadow?
440409,Which artwork uses a limited color palette to portray a village atmosphere with broad brush strokes?
437107,painting with blooming trees in a Paris garden next to a town house
437107,Can you find something related to English gardens in Paris with green swaths?
437107,Looking for Impressionist works with buildings from left view in a park
437107,19th century oil painting set in a Parisian park with fashionably dressed people
437107,Show me a scene featuring blooming spring colors with a historical touch
435742,Show me the Boucher painting with a knight and a pagan princess in a jewel-like setting.
435742,"I'm searching for a work depicting a historical theme with multicultural influences, particularly a North African knight."
435742,What 18th century piece portrays a female nude with putti and is based on Ariosto's epic poem?
435742,Looking for an oil on canvas featuring a pagan daughter and a knight from the 1700s.
435742,"That painting where a king's daughter leaves a Christian knight, any ideas?"
435921,"I'm searching for a lively painting of a portrait painter's wife by Constable, showcasing varied brushwork and highlights."
435921,"Can you show me that oil on canvas painting depicting a woman associated with Woodbridge, created in a lively manner by Constable?"
435921,Show me the painting from the 19th century that features a woman connected to Suffolk and painted with vibrant brush strokes.
435921,"Curious about a vibrant portrait of a female artist with ties to a lawyer, painted in oil with stunning highlights."
437998,Looking for a painting of olive trees with Seurat-like stippling and broken color passages.
437998,Are there any paintings showing olive orchards painted directly from nature but with rustic realism?
437998,Show me artwork from the late 1880s with stylized landscapes inspired by Paul Gauguin and Émile Bernard.
437998,Oil on canvas piece from 1889 depicting the earthy essence of southern landscapes and olive groves.
437998,Find a vibrant painting that captures the essence of soil and nature with animated colors and stippling.
436659,What is the portrait of a bearded man holding a letter addressed to the Steelyard?
436659,I'm curious about paintings featuring German merchants in London with a Virgil quote.
436659,Find me a work by Holbein with a bearded man and Virgil's words about perseverance.
436659,Show me an oil on canvas that depicts a 30-year-old man clutching a letter in London.
436659,Looking for a Renaissance portrait with a somber tone and an inscription from Virgil's Aeneid.
438813,"painting where Saint John the Baptist's eyes resemble ancient sculptures, pointing to Christ"
438813,oil painting from the Baroque period featuring John the Baptist in an idyllic landscape
438813,"an imaginative landscape with religious figures and large, expressive eyes"
438013,Looking for a painting featuring a pink-cheeked girl set against an Impressionist landscape.
438013,"Are there any paintings inspired by Ingres's Grande Odalisque but with a more vibrant, lively subject?"
438013,"Show me artworks depicting female nudes within an Impressionist style, especially those with coastal landscapes."
438013,"I'm interested in 19th-century oil paintings that blend classical art themes with Impressionist techniques, particularly involving nudes."
438013,"Can you find a canvas that combines a healthy complexion with themes of classical art, reflecting the 1800s?"
436283,15th-century Flemish painting featuring oil on wood of the Virgin and Child
436283,looking for a religious painting with the Virgin and Child surrounded by Gothic architecture
435965,"What painting features a sketchy portrayal of a female nude in a natural setting, not fully resolved?"
435965,I'd like to find a landscape painting where the anatomy of the female figure appears unfinished.
435965,Is there a mid-19th-century oil painting of a bacchante in nature that seems to be a preparatory work?
435965,Show me a painting from the museum’s collection featuring a female nude with a rough rendering in a pastoral scene.
435965,"Looking for an artwork that captures a female figure in a landscape, painted in a loose, almost incomplete style."
438387,Can you show me the painting where the Virgin gives the scapular to Saint Simon Stock with Saint Anthony nearby?
438387,"Looking for an Italian painting featuring dogs, angels, and the Virgin Mary on copper."
438387,Where can I find a painting depicting Saints with an oil on copper medium?
438387,I'm interested in a Renaissance painting showing a cloaked monk kneeling before the Virgin Mary. Which is it?
438387,"That painting with the mixture of warm and cool tones, where two donors kneel with a monk near the Virgin."
436107,"I'm looking for a portrait of a French general depicted in vibrant colors with sharp realism, possibly from an artist who was exiled."
436107,"Is there a painting featuring a commander during the Napoleonic era, portrayed with an authoritative and commanding presence?"
436107,"Show me artworks of generals from the French Revolution with colorful, sharp realism and a focus on military regalia."
436107,Any 19th-century paintings that use oil on canvas to depict a figure with a distinguished military background and a vibrant palette?
436107,"Can you find an oil painting with a strikingly vibrant mood of a male figure, possibly donning military attire in a regal setting?"
437158,Looking for a painting where a man is contemplating an hourglass next to a vibrant carpet.
437158,Are there any portraits that explore themes of mortality with an hourglass and a man's gaze?
437158,Show me a Brescian painting that combines Venetian portrait style with a focus on the passage of time.
437158,Seeking a Renaissance oil painting featuring a man surrounded by symbols of time and mortality.
437158,Find that painting where a man engages the viewer with expressive eyes and a decorative carpet.
441371,"Show me oil paintings depicting a man in Moorish attire with a bust-like focus, possibly from an actor's portrayal."
441371,I'm interested in 19th century paintings that combine an actor's study with exotic costume details.
441371,"Are there any works by artists who traveled to Egypt, featuring models in elaborate costumes?"
441371,"Looking for a piece featuring intense character study from the 1800s, done in a London studio setting."
441371,Can you find me an oil on canvas that captures theatrical elements through intricate costume and facial focus?
438015,looking for a scene with pointillist trees beside a river and red-roofed houses
438015,can you show me a painting depicting the Seine with boats framed by nature's vivid clarity?
438015,19th-century oil painting of a Paris suburb seen across the Seine with unique visual clarity
438015,"a serene, nuanced pointillist piece with subtle tones and a focus on nature's outdoor clarity"
440727,painting showing a vast valley and mountains with oils on paper
440727,I'm looking for a landscape painted in Germany with hills and a broad view
440727,show me works from the Golden Age of Danish painting featuring German landscapes
440727,Can you find a piece by a follower of Eckersberg that focuses on expansive valleys?
440727,seeking a work with a serene mood and oil textures laid on canvas
436949,"1. I'm searching for a vibrant oil painting featuring a boat scene, painted in a loose style similar to that of a mid-19th century French artist's study."
436949,"2. Can you help me find a painting with dramatic imagery on a boat, inspired by an earlier Romantic work, but distinctly reinterpreted in a lively manner?"
436949,"3. Looking for a painting where the focus is a mythological boat scene, but reimagined with bold colors and an expressive style that departs from the original."
436949,"4. Show me a 19th-century oil painting from the French department that presents a loosely rendered boat scene, perhaps from an exhibition period around 1859."
436949,"5. I'm interested in finding a painting with a tension-filled atmosphere and a dynamic color palette, depicting figures on a boat, influenced by a famed Romantic composition."
436456,"painting depicting a saint forgiving a murderer by a crucifix, using tempera on wood"
436456,artwork portraying a scene where a monk forgives in front of a nodding crucifix
436456,late 14th-century painting with a gold background showing a saint and his brother's killer
436456,tempera on wood from the 1300s featuring men and horses in a religious scene
436456,gold-toned painting with a crucifixion nodding approval at an act of charity
437403,"I'm curious about the 1650s painting on wood featuring Christ and a woman by a well, touched up by a master."
437403,"Looking for an oil painting depicting a biblical narrative with Christ interacting with a woman near a well, possibly by a famous pupil."
437403,"Show me mid-17th century Dutch works that have a unique narrative scene with a man and woman, reflecting pupil-master collaborations."
437403,"Are there any Rembrandt-style artworks from the 1650s focusing on religious discussions, especially involving Christ and detailed outdoor scenes?"
437403,"I'd like to see paintings with a warm, earthy color palette showing men and women in dialogue during biblical times."
437810,What is the fresco painting where a woman wears a feathered headdress and a crocodile is featured?
437810,Can you show me an allegorical painting of America with female nudes that includes alligator symbolism?
437810,Find me an artwork similar to Ripa's Iconologia but with a crocodile in the composition.
437810,Looking for an 18th-century fresco on canvas depicting continental allegory with a focus on America?
437810,"I'm curious about a piece with a vibrant depiction of the Four Continents, particularly America with its unique headdress."
438670,Oil painting with ancient ruins and scaffolding near an amphitheater
438670,Depiction of Rome's Colosseum with playful grassy arches
438670,Romantic cityscape with Valadier's architecture stabilizing ruins
438670,19th century Italian city painting highlighting broken arches and greenery
438670,Scenic view of ruins combining natural elements and urban structures
436892,painting of a child and Madonna in a Florentine palace with a view of a crescent-studded arcade
436892,religious artwork showing Madonna and Child amidst a backdrop that hints at Florentine history
436892,artwork depicting Madonna and Child with tempera and oil on a Florentine bridge scene
436892,"Renaissance painting from Florence featuring a wealthy banker symbol, three crescents, and a domestic scene"
436892,I'm interested in a serene painting that shows a Black woman performing domestic tasks with a golden-hued palette
438010,Show me a painting with dappled light and violet shadows in a garden setting.
438010,"I'm interested in portraits of women in vibrant outdoor scenes, particularly using oil on canvas."
438010,Looking for a Renoir piece featuring a female model surrounded by lush greenery outside a studio.
438010,Can you help me find an Impressionist work where varied brushstrokes create a garden ambiance?
438010,Find me a portrait with vivid colors and dynamic brushwork that captures an outdoor mood.
436262,Looking for a painting of a saint with pearls and a martyr's palm embracing a child
436262,Are there any Italian-influenced paintings depicting a mystical marriage with Christ?
436262,Searching for a 17th-century artwork featuring a princess saint with a young Jesus
436262,I'm interested in a painting with a rhythmic layout reflecting admiration for Titian and Veronese
435639,"Looking for a painting where the bottom of a vase casts realistic shadows, made for over a door."
435639,Can you show me a flower painting that was once used for designing English overdoors?
435639,Which artwork features a Louis XVI style and includes a dramatic vase perspective?
435639,"Need a French oil painting where flowers in a vase are seen from below, resembling reality."
435639,Show me a painting from the early 1900s collection with flowers in a niche and dramatic shadows.
437680,What is the painting where modern bridges meet holidaymakers on a riverbank?
437680,Show me the oil painting featuring a suspension bridge and sunlit water reflections.
437680,Looking for a painting of leisure on the Seine with a backdrop of 19th-century architecture.
437680,Are there any 19th-century French paintings showing a bustling riverside scene with dramatic angles?
437680,"That painting with bright strokes and people enjoying the river, is it about a Paris suburb?"
436891,Where is the painting that depicts an Old Testament figure cloaked among ancient ruins?
436891,Can you show me the artwork with a blonde tonality and a dog near a burial scene?
436891,"Looking for a 17th-century painting influenced by Poussin, featuring Jewish burial customs."
436891,I'm interested in the classicism painting from the 1640s with Tobit defying a burial decree.
436891,Searching for an oil on canvas with pronounced classicism and ancient architecture references.
436647,landscape with obelisks and formal garden symbolism
436647,artwork similar to Vermeer's precision but with fire pump inventor's touch
436647,17th-century Dutch countryside house amid hedgerows
436647,calm scene with luminous portrayal of laboring gardeners
438669,Can you show me that painting from the Palatine Hill with just one vault of Constantine's Basilica?
438669,"I'm curious about an oil painting that combines ruined architecture with a sketchy brushwork feel, set in ancient Rome."
438669,Looking for a painting from the 19th-century historical landscape style featuring the Basilica of Constantine from a unique angle.
438669,Do you have any paintings of ruins in Rome that blend controlled symmetry with a plein-air study style?
438669,"Show me an ancient site painting with oil on paper laid onto canvas, capturing the essence of the Palatine Hill."
436976,I'm interested in a 17th-century oil painting showcasing a poppy surrounded by insects and reptiles.
436976,Can you show me a still life where a lizard and snake interact under a menacing poppy?
436976,"Looking for a painting with elements of nature and science featuring a forest floor, snails, and butterflies."
436976,"Are there any paintings that merge natural beauty with a hint of danger, specifically with a poppy casting shadows over reptiles?"
436976,Find a dramatic still life from the era of scientific discovery that includes snails and insects in their natural habitat.
712539,What painting features a saint with a childlike pure look and light in his eyes?
712539,Comparison of Baroque portraits featuring saints by Carlo Dolci with emphasis on physical presence
712539,Looking for a 17th century Florentine painting on canvas depicting a saint from the Oratorians
712539,"Show me a painting with a serene expression and radiant eyes of a saint, completed in 8 days"
436555,"I'm looking for a painting showing a sandy path leading to a farmhouse, done in oils on a small wood panel."
436555,Which artwork captures a diagonal landscape design with houses from the early 1600s?
436555,Show me a 17th century Dutch painting from Leiden featuring a rural path and farm buildings.
436555,"Can I see an oil painting that feels serene with earthy tones, depicting a farmhouse along a sandy road?"
436555,Do you have any pieces where the artist's early style shows influence from Haarlem but with a countryside theme?
437404,Looking for a painting capturing Christ's bust with a slightly damaged surface
437404,Can you show me a religious artwork depicting Christ modeled after a real person?
437404,Searching for 17th century Dutch oil paintings portraying a sensitive portrayal of Christ
437404,Find me a painting with a somber color palette and a worn texture featuring a religious figure
437404,Is there a piece where the Jewish quarter's influence is visible in a depiction of Christ?
436956,Looking for a painting featuring a baritone from the 1800s posed in winter attire.
436956,Can you show me portraits with unfinished preparation studies and themes of men's fashion from the 1880s?
436956,Any oil on canvas works focusing on a musical collector from the late 19th century with an enigmatic expression?
436956,Find me 19th-century French paintings portraying a male figure with an unfinished backdrop.
436956,"Seeking a study of a man by a window in a 19th-century French winter setting, showcasing themes of solitude and contemplation."
438543,"""looking for a still life involving shells symbolizing colonial expansion"""
438543,"""similar works to those with a chip-wood box and marine themes"""
438543,"""17th century oil on canvas from Strasbourg with a focus on shells"""
438543,"""a calm composition featuring a box with dried goods and ornate shells"""
436057,painting depicting a common landscape with 17th-century Dutch influence and prominent clouds
436057,seeking a landscape with a motif inspired by Dutch artist Meyndert Hobbema
436057,Is there an oil canvas of a scene from Hautbois Common with trees and clouds?
436057,19th-century English landscape near Coltishall featuring trees on a canvas
436057,"looking for a landscape artwork that feels serene, with a blend of natural elements and soft tones"
435715,"Looking for the painting of a seated man with a sophisticated, delicate expression, painted on wood."
435715,"Can you show me a 17th-century Dutch portrait with themes of men, where the subject is seated elegantly?"
435715,Which artwork involved international travels to depict peace negotiations in the 1640s and features a seated figure?
435715,Find me a portrait from Deventer in the late 1650s that captures the nuances of character through refined style.
435715,"I'm interested in a painting that captures a serene mood, with oil on wood, depicting a single man's portrait."
437208,Looking for the painting with a skull and a metal instrument used by surgeons.
437208,"Show me the artwork featuring a doctor with keys and a saw, painted on wood."
437208,Are there Renaissance paintings where a surgeon is depicted with powerful hands?
437208,I'm interested in a shadowy oil painting with a cryptic inscription about silence.
437208,"That artwork with a firm-jawed man in a medical context, not a courtly portrait."
437148,Seeking a still life painting with a richly textured blue vase and vibrant floral tones?
437148,Can you help me find a painting featuring a blue vase with flowers depicted in a heavily textured style?
437148,Looking for an oil painting on wood that combines still life elements and vivid colors reminiscent of Monticelli's influence on Cézanne and Van Gogh?
437148,Show me an artwork from the late 19th century French collection that displays a bouquet with unique orchestration of tones in a still life.
437148,Searching for a painting with colorful flowers in a vase that conveys a mood of balance and harmony through a rich color palette.
436831,Where can I find the painting with an imaginary wooded landscape and a hunting boat to the right?
436831,"I'm looking for a painting that blends real Dutch landscape elements with the artist's imagination, including clouds."
436831,Show me a 17th-century Dutch landscape painting featuring an elegant yacht.
436831,"Do you have any artworks with a moody, cloud-filled sky over an imaginary forest?"
436831,"Can you find that painting that looks like Gelderland but isn't, with a river and a boat?"
435904,Show me the painting with a skull and a writing tool on a stone ledge.
435904,I'm interested in a still life with a toppled glass and a dim lamp.
435904,Looking for a 17th-century Dutch artwork depicting a gap-toothed skull.
435904,Can you find a shadowy scene with muted browns and unsettling objects?
435904,I want a painting symbolizing life's brevity with gray tones and a stone surface.
437896,I'm looking for a painting with cardinals lounging and a bishop drinking tea while a monk shares a story.
437896,Find me a painting depicting satirical church life with a monk showing his wound to indifferent clergy.
437896,Are there paintings where a luxurious interior contrasts with a missionary's adventures and includes a dog?
437896,Oil on wood painting of church figures ignoring a monk's wounded arm during his recounting.
437896,"That painting with opulent clergy relaxing while a missionary stands wounded, with a Ribera artwork in the background."
436767,What's the painting that features both the Flight into Egypt and the Adoration of the Magi on wood with gold?
436767,Find me the Gothic triptych where the Last Supper is depicted alongside Christ's Nativity.
436767,"Looking for a piece reminiscent of Giovanni Badile, but with a reversed narrative sequence surrounding Christ."
436767,"Show me a Late Gothic work with tempera on wood, capturing the Nativity scene with regilded frames."
436767,Is there a painting that uses a gold ground to depict Saint John the Baptist along with the Flight into Egypt?
435708,"art piece depicting a girl drinking, set in a niche"
435708,compare Bonnat's later genre works depicting girls and water
435708,19th-century French genre painting with a girl and fountains
435708,I'm interested in a serene scene featuring a girl by a fountain
436848,painting with a young woman wearing vibrant Madras fabric and a blonde wig
436848,portrait depicting the juxtaposition of colonial fabrics and racial themes
436848,1795 artwork featuring a woman donning a blonde wig and Indian fabric
436848,show me a piece with vivid colors and a strong narrative on racial identity
436045,Where's that portrait with oil on beech wood and printed paper labels featuring Saxon electors?
436045,I'm curious about propaganda portraits from the 1530s that highlight Saxon electoral succession. Can you show me one?
436045,Is there a Renaissance portrait that pairs two Saxon electors ordered by a son to celebrate his father and uncle?
436045,Looking for a 16th-century German painting on beech wood featuring male subjects with a political theme. Can you help?
436045,"Show me that portrait series with emphasis on Saxon heritage and legacy, with poems about family succession."
435849,What portrait features a society lady with a 17th-century style costume and oil on canvas?
435849,Looking for a painting of an American banker's wife done in Paris with a nod to Velázquez.
435849,Can you show me a work by Carolus-Duran that reflects his admiration for the 17th-century Spanish painter Velázquez?
435849,Is there a 19th-century painting of a woman in a distinctive 17th-century-inspired pose?
435849,"I'm interested in a portrait of a woman in Parisian society attire from the 1890s, painted in oil."
437834,I'm looking for a portrait where a woman wears a striking wide-shouldered dress and the painting features an inscription for a family.
437834,Show me paintings of women where the artist had a hard time securing commissions because of society's reaction to them.
437834,"Find a work by an artist known for portraits, where the subject is dedicated to a specific family and uses oil on unprimed wood."
437834,"Can you help me find a painting of a bold woman from the late 19th century wearing a dramatic outfit, painted directly on wood?"
437834,"I'm interested in a colorful portrait that might feel unconventional, where the subject is a minor acquaintance of the artist."
440393,"Show me that unfinished painting depicting the baptism at night, with Saint John and angels."
440393,Can you help me find an oil on canvas showing Christ's baptism as a somber event?
440393,Looking for a piece reminiscent of Goya's dark style but featuring a nighttime baptism scene.
440393,Is there a late 16th-century Venetian painting with a dramatic night baptism on canvas?
440393,"I'm interested in a shadowy painting with an ethereal mood, about Christ's baptism and unfinished."
438432,oil painting featuring Madonna and Child in a light-filled room with influences of Donatello's style
438432,artwork showing Madonna and Child from the early 1500s with sculpture-inspired composition in a sunlit setting
438432,"16th century oil on wood painting of a mother and child with nuanced light, inspired by Italian sculpture"
438432,"exploring tender scenes from Italian art, showcasing mother and child in a bright, serene backdrop"
437082,1. Looking for a painting that shows city life with tattered shoes and bread carts.
437082,2. Can you find a painting that illustrates urban peasants alongside goods like eau-de-vie?
437082,3. Show me a 17th-century painting of an urban market scene by a lesser-known artist similar to the Le Nain brothers.
437082,4. Are there works depicting the poetic use of worn-out shoes in a scene with bakers from the 1600s?
437082,5. I'm interested in a warm-toned painting of a bustling baker's cart scene with a focus on daily labor.
437302,Show me a painting that features bright orange and green strokes on boats near a river.
437302,"I'm interested in artworks depicting industrial river scenes, especially with barges highlighted."
437302,Looking for Pissarro's depiction of bustling port life with close-up barge details.
437302,Can you find a 19th-century French canvas that portrays the Oise River with vibrant colors?
437302,"Seeking a painting with a lively, bold color palette of river traffic and indistinct figures."
435858,What's the painting where a horseman and shepherd communicate with animated gestures?
435858,Are there any paintings showing a horseman engaging with a shepherd in an expressive manner?
435858,Looking for works with Venetian influences yet depicting a cavalier and shepherd in a unique interaction.
435858,Show me 18th-century oil paintings with a cavalier on horseback interacting with a shepherd in a pastoral setting.
435858,Is there an oil on canvas with warm tones featuring a horseman and shepherd trading information amid farm animals?
441379,Looking for a moonlit seascape with expressive brush strokes and a boat
441379,Is there an oil painting that captures the North Cape during the night?
441379,Show me a painting with dramatic contrasts like Johan Christian Dahl but features a boat under moonlight
441379,19th-century Norwegian canvas depicting the North Cape at night
441379,"Can you find an artwork with a dark, mysterious palette that focuses on the sea and moon?"
435962,What's the oil on canvas with a barren woman and child saved in the desert?
435962,Looking for biblical art where an elderly barren woman becomes a mother
435962,Show me a Corot painting of landscapes inspired by Oak Trees at Bas-Bréau
435962,Can I see an early 19th-century French biblical scene with wilderness and divine intervention?
435962,Interested in a painting with a somber desert mood and mother-child imagery
436487,What is the painting with the story of Saint Zenobius bringing a tree to life?
436487,Can you find a painting depicting Tobias catching a fish in front of a Florentine backdrop?
436487,I'm curious about Renaissance artworks on wood that include a scene of the Virgin Mary and a miracle tree.
436487,Looking for a 15th-century tempera painting showing a bell tower next to a miraculous event involving nature.
436487,"Show me a warm-toned painting with gold accents, featuring a narrative scene in Florence's baptistery."
438823,Looking for a painting of Normandy coastline cliffs with unique sunlight effects
438823,Which artwork features a fishing village landscape with color and luminosity focus?
438823,Can you show me seascapes depicting rock formations like those at Étretat?
438823,19th-century oil painting of Manneporte showcasing shifting daylight hues
438823,I'm interested in artworks with cliffs that change appearance based on light
780292,What's the painting featuring a young guard amidst Greek and Roman sculpture casts?
780292,Seeking an oil canvas with a young man and plaster casts in a formal palace setting.
780292,Looking for an interior scene where a watchman stands nonchalantly among sculptures.
780292,Can you find the piece showing Greek and Roman statues at the Royal Danish Academy?
780292,Interested in an art piece with a subtle presence of the artist on a tablet in a gallery.
437231,painting featuring the Holy Family with vibrant Venetian colors and no angels
437231,"artwork depicting shepherds adoring a newborn, lit obliquely"
437231,similar to 16th-century Ferrara style but focuses on shepherds with rich colors
437231,"early 1500s Italian religious painting of a humble scene with Joseph, Mary, and shepherds"
437231,"I'm searching for a painting with deep, rich colors highlighting a peaceful shepherd scene"
436411,I'm interested in a painting showing Saint Peter's crucifixion along with angels and a donor figure.
436411,Can you show me the oil on wood artwork depicting Saint Anthony Abbot with a unique northern French style?
436411,Looking for paintings influenced by Rogier van der Weyden featuring angels alongside camels.
436411,Do you have a northern French wood panel painting with religious figures and a central shrine concept?
